"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Search Keywords","Page Title","Meta Keywords","Meta Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
Product,2788,"Aloe Vera-22 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",13.99,11.00,0.00,0.00,0.0000,N,,22.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Aloe Vera-22 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/aloe-vera-22-lb/,,,,,,,,,,,,N,,
Product,2789,"Anaheim Pepper-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",55.99,46.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Anaheim Pepper-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/anaheim-pepper-20-lb/,,,,,,,,,,,,N,,
Product,2790,"Baby Bokchoy-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",35.99,30.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Baby Bokchoy-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/baby-bokchoy-25-lb/,,,,,,,,,,,,N,,
Product,2791,"Baby Taro-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",34.99,29.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Baby Taro-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/baby-taro-30-lb/,,,,,,,,,,,,N,,
Product,2792,"Bac Ha ( Taro Stems) Hawaii-15 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",57.99,48.00,0.00,0.00,0.0000,N,,15.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bac Ha ( Taro Stems) Hawaii-15 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bac-ha-taro-stems-hawaii-15-lb/,,,,,,,,,,,,N,,
Product,2793,"Banana Flower-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",44.99,37.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Banana Flower-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/banana-flower-30-lb/,,,,,,,,,,,,N,,
Product,2794,"Banana Leaf-24 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",22.99,19.00,0.00,0.00,0.0000,N,,24.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Banana Leaf-24 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/banana-leaf-24-lb/,,,,,,,,,,,,N,,
Product,2795,"Banana Pepper-18 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",34.99,29.00,0.00,0.00,0.0000,N,,18.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Banana Pepper-18 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/banana-pepper-18-lb/,,,,,,,,,,,,N,,
Product,2796,"Basil ( Hawaii)-12 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",58.99,49.00,0.00,0.00,0.0000,N,,12.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Basil ( Hawaii)-12 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/basil-hawaii-12-lb/,,,,,,,,,,,,N,,
Product,2797,"Bean Sprouts-10 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",9.99,8.00,0.00,0.00,0.0000,N,,10.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bean Sprouts-10 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bean-sprouts-10-lb/,,,,,,,,,,,,N,,
Product,2798,"Beet-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",14.99,12.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Beet-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/beet-25-lb/,,,,,,,,,,,,N,,
Product,2799,"Bell Pepper (Green)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",30.99,26.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bell Pepper (Green)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bell-pepper-green-20-lb/,,,,,,,,,,,,N,,
Product,2800,"Bell Pepper (Orange)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",46.99,39.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bell Pepper (Orange)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bell-pepper-orange-20-lb/,,,,,,,,,,,,N,,
Product,2801,"Bell Pepper (Red)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",52.99,44.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bell Pepper (Red)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bell-pepper-red-20-lb/,,,,,,,,,,,,N,,
Product,2802,"Bell Pepper (Yellow)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",51.99,43.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bell Pepper (Yellow)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bell-pepper-yellow-20-lb/,,,,,,,,,,,,N,,
Product,2804,"Bitter Melon (Indian)-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",35.99,30.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bitter Melon (Indian)-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bitter-melon-indian-25-lb/,,,,,,,,,,,,N,,
Product,2805,"Bokchoy Sum-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",39.99,32.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Bokchoy Sum-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/bokchoy-sum-30-lb/,,,,,,,,,,,,N,,
Product,2806,"Breadfruit-40 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",44.99,36.00,0.00,0.00,0.0000,N,,40.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Breadfruit-40 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/breadfruit-40-lb/,,,,,,,,,,,,N,,
Product,2807,"Broccoli-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",18.99,16.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Broccoli-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/broccoli-20-lb/,,,,,,,,,,,,N,,
Product,2808,"Burro Banana-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",32.99,27.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Burro Banana-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/burro-banana-30-lb/,,,,,,,,,,,,N,,
Product,2809,"Cabbage Green (Box)-45 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",21.99,18.00,0.00,0.00,0.0000,N,,45.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Cabbage Green (Box)-45 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/cabbage-green-box-45-lb/,,,,,,,,,,,,N,,
Product,2810,"Cabbage Red (Box)-45 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",27.99,23.00,0.00,0.00,0.0000,N,,45.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Cabbage Red (Box)-45 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/cabbage-red-box-45-lb/,,,,,,,,,,,,N,,
Product,2811,"Carrot-50 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",16.99,14.00,0.00,0.00,0.0000,N,,50.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Carrot-50 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/carrot-50-lb/,,,,,,,,,,,,N,,
Product,2812,"Carrot (Baby)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",21.99,18.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Carrot (Baby)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/carrot-baby-20-lb/,,,,,,,,,,,,N,,
Product,2813,"Carrot (Indian Red)-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",53.99,45.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Carrot (Indian Red)-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/carrot-indian-red-25-lb/,,,,,,,,,,,,N,,
Product,2814,"Chapoo-10 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",82.99,69.00,0.00,0.00,0.0000,N,,10.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Chapoo-10 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/chapoo-10-lb/,,,,,,,,,,,,N,,
Product,2815,"Chayotte-35 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",23.99,19.75,0.00,0.00,0.0000,N,,35.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Chayotte-35 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/chayotte-35-lb/,,,,,,,,,,,,N,,
Product,2816,"Chinese Celery-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",67.99,56.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Chinese Celery-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/chinese-celery-30-lb/,,,,,,,,,,,,N,,
Product,2817,"Chive (Green)-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",94.99,79.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Chive (Green)-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/chive-green-25-lb/,,,,,,,,,,,,N,,
Product,2818,"Cucumber (Persian)-20 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",22.99,19.00,0.00,0.00,0.0000,N,,20.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Cucumber (Persian)-20 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/cucumber-persian-20-lb/,,,,,,,,,,,,N,,
Product,2819,"Cucumber (Pickle)-45 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",45.99,38.00,0.00,0.00,0.0000,N,,45.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Cucumber (Pickle)-45 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/cucumber-pickle-45-lb/,,,,,,,,,,,,N,,
Product,2820,"Cucumber (Select)-50 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",40.99,34.00,0.00,0.00,0.0000,N,,50.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Cucumber (Select)-50 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/cucumber-select-50-lb/,,,,,,,,,,,,N,,
Product,2821,"Daikon-40 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",25.99,22.00,0.00,0.00,0.0000,N,,40.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Daikon-40 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/daikon-40-lb/,,,,,,,,,,,,N,,
Product,2822,"Daikon With Leaf-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",30.99,26.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Daikon With Leaf-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/daikon-with-leaf-30-lb/,,,,,,,,,,,,N,,
Product,2823,"Dosakai-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",52.99,44.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Dosakai-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/dosakai-30-lb/,,,,,,,,,,,,N,,
Product,2824,"Drumsticks-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",179.99,150.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Drumsticks-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/drumsticks-30-lb/,,,,,,,,,,,,N,,
Product,2825,"Drumsticks Leaves-10 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",59.99,50.00,0.00,0.00,0.0000,N,,10.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Drumsticks Leaves-10 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/drumsticks-leaves-10-lb/,,,,,,,,,,,,N,,
Product,2826,"Egg Plants (Chinese)-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",32.99,27.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Egg Plants (Chinese)-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/egg-plants-chinese-30-lb/,,,,,,,,,,,,N,,
Product,2827,"Egg Plants (Graffiti)-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",42.99,36.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Egg Plants (Graffiti)-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/egg-plants-graffiti-30-lb/,,,,,,,,,,,,N,,
Product,2828,"Egg Plants (Indian)-30 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",34.99,29.00,0.00,0.00,0.0000,N,,30.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Egg Plants (Indian)-30 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/egg-plants-indian-30-lb/,,,,,,,,,,,,N,,
Product,2829,"Egg Plants (Italian)-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",39.99,33.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Egg Plants (Italian)-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/egg-plants-italian-25-lb/,,,,,,,,,,,,N,,
Product,2830,"Egg Plants (Thai)-40 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",43.99,36.00,0.00,0.00,0.0000,N,,40.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Egg Plants (Thai)-40 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/egg-plants-thai-40-lb/,,,,,,,,,,,,N,,
Product,2831,"Fava Beans-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",44.99,37.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Fava Beans-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/fava-beans-25-lb/,,,,,,,,,,,,N,,
Product,2832,"Finger Hot (Long Chili)-25 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",54.99,46.00,0.00,0.00,0.0000,N,,25.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Finger Hot (Long Chili)-25 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/finger-hot-long-chili-25-lb/,,,,,,,,,,,,N,,
Product,2833,"Fuzzy Squash-40 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",29.99,25.00,0.00,0.00,0.0000,N,,40.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Fuzzy Squash-40 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/fuzzy-squash-40-lb/,,,,,,,,,,,,N,,
Product,2834,"Garbanzo Beans-15 lb",P,,,,,Right,"<p><strong>Fresh Produce</strong><br /><span>Enjoy the freshness!!!</span><br /><br /><strong></p>",58.99,49.00,0.00,0.00,0.0000,N,,15.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Fresh Produce",,,,,,"Garbanzo Beans-15 lb, Vegetables, Fresh Produce, Veggies, SuperiorOne",,,,New,N,0,"Default Tax Class",,N,/garbanzo-beans-15-lb/,,,,,,,,,,,,N,,
